"","Estimate","Est.Error","Q2.5","Q97.5","Treebank"
"growthRate_Intercept74",0.000322818635674482,1.39483247416763e-05,0.000296155299409982,0.000350728798007305,"UD_Turkish-Tourism"
"delta_Intercept74",0.516568810071246,0.0163892918805513,0.484872237773696,0.548821179996491,"UD_Turkish-Tourism"
"upperAsymptote_Intercept75",0.953714698710908,0.000581740778590593,0.952600767541939,0.954865177062231,"UD_Italian-VIT"
"lowerAsymptote_Intercept75",0.70628548089721,0.001718597216233,0.702922283741371,0.709655268811725,"UD_Italian-VIT"
"growthRate_Intercept75",0.000139958287930031,2.30497144739454e-06,0.000135504558058486,0.000144510198389477,"UD_Italian-VIT"
"delta_Intercept75",0.501412537024906,0.00596569541941744,0.490056482836083,0.513088758303407,"UD_Italian-VIT"
"upperAsymptote_Intercept76",0.972147843396552,0.00026239952932234,0.971640844209723,0.972673725534219,"UD_Catalan-AnCora"
"lowerAsymptote_Intercept76",0.789939368579564,0.00135996638023323,0.787298060552485,0.792606975233875,"UD_Catalan-AnCora"
"growthRate_Intercept76",0.00018956594858754,3.14793266258143e-06,0.000183477136873683,0.000195817896133358,"UD_Catalan-AnCora"
"delta_Intercept76",0.547141070647039,0.00625877343464961,0.535477843100872,0.559854908055638,"UD_Catalan-AnCora"
"upperAsymptote_Intercept77",0.908154874237773,0.0162519287010753,0.870497825521904,0.92569340708627,"UD_Turkish-FrameNet"
"lowerAsymptote_Intercept77",0.740283900825602,0.0148751359448594,0.707218621371041,0.778194593825325,"UD_Turkish-FrameNet"
"growthRate_Intercept77",0.617597201771025,1.94353994359843,0.000253705630360658,7.97053590792277,"UD_Turkish-FrameNet"
"delta_Intercept77",1.46632186088731,1.82352887517435,0.699262304661581,8.50840953832999,"UD_Turkish-FrameNet"
"upperAsymptote_Intercept78",0.879039802319944,0.00497049527614491,0.870104527925322,0.889626238173758,"UD_Vietnamese-VTB"
"lowerAsymptote_Intercept78",0.62812532195969,0.00269319868270461,0.62293344904284,0.63345715458363,"UD_Vietnamese-VTB"
"growthRate_Intercept78",0.000199034158387786,1.22792328003228e-05,0.000174553981401918,0.000222693768144802,"UD_Vietnamese-VTB"
"delta_Intercept78",0.610429010039005,0.0210390126845711,0.569615836645305,0.65285459613319,"UD_Vietnamese-VTB"
"upperAsymptote_Intercept79",0.970530662891708,0.000554309549899221,0.969435581548853,0.971615183783796,"UD_Polish-LFG"
"lowerAsymptote_Intercept79",0.707384847940946,0.00174501570862881,0.70394262224594,0.710870685526579,"UD_Polish-LFG"
"growthRate_Intercept79",0.000166826605792014,2.7674721632175e-06,0.000161383793559023,0.000172234815125422,"UD_Polish-LFG"
"delta_Intercept79",0.477351179115632,0.00531273704876976,0.467014936174519,0.488013157432704,"UD_Polish-LFG"
"upperAsymptote_Intercept80",0.882359918493263,0.0163800905166938,0.847441032869139,0.894510079816898,"UD_Uyghur-UDT"
"lowerAsymptote_Intercept80",0.727178008313808,0.0175340750321291,0.685055997517408,0.774824351382807,"UD_Uyghur-UDT"
"growthRate_Intercept80",1.23456600354133,2.56421843980058,0.000242010718297994,8.9422905586752,"UD_Uyghur-UDT"
"delta_Intercept80",1.78428023917652,2.3263298699775,0.698389754493816,8.9948306217531,"UD_Uyghur-UDT"
"upperAsymptote_Intercept81",0.832016985570824,0.0301666605567648,0.770140483386221,0.863859617746398,"UD_Maghrebi_Arabic_French-Arabizi"
"lowerAsymptote_Intercept81",0.622881232546939,0.0230808213038867,0.568526810417854,0.682731413655032,"UD_Maghrebi_Arabic_French-Arabizi"
"growthRate_Intercept81",1.23827306586977,2.58851935240817,0.000194250839726106,8.99797236776712,"UD_Maghrebi_Arabic_French-Arabizi"
"delta_Intercept81",1.7181073794143,2.30667962634511,0.587268174442764,8.7658117048548,"UD_Maghrebi_Arabic_French-Arabizi"
"upperAsymptote_Intercept82",0.958304551794265,0.00038923243282635,0.957554158793084,0.959074213432314,"UD_Hindi-HDTB"
"lowerAsymptote_Intercept82",0.743782615454501,0.00151218733141061,0.740776397193671,0.746617203114117,"UD_Hindi-HDTB"
"growthRate_Intercept82",0.00015698491271952,2.53187020236871e-06,0.000152155087362516,0.000162014213274534,"UD_Hindi-HDTB"
"delta_Intercept82",0.520592261526691,0.00577023841717243,0.509479253146702,0.531956606432082,"UD_Hindi-HDTB"
"upperAsymptote_Intercept83",0.971558744680793,0.000403930887250527,0.970799248590191,0.972355804338466,"UD_Portuguese-Porttinari"
"lowerAsymptote_Intercept83",0.744851912035822,0.00168488401735804,0.741543820845728,0.748123942523937,"UD_Portuguese-Porttinari"
"growthRate_Intercept83",0.000182196743466116,3.14344896114756e-06,0.000176098873034882,0.000188463836225647,"UD_Portuguese-Porttinari"
"delta_Intercept83",0.515566582196289,0.00606928098009015,0.503668449743299,0.527462285428443,"UD_Portuguese-Porttinari"
"upperAsymptote_Intercept84",0.934378274033073,0.000754707216871885,0.93289983426996,0.935885080567344,"UD_Latvian-LVTB"
"lowerAsymptote_Intercept84",0.619962154099783,0.00242156515990945,0.615203448846085,0.624731172470433,"UD_Latvian-LVTB"
"growthRate_Intercept84",0.000134432335976191,2.38501158570516e-06,0.000129834214774318,0.000139132793338144,"UD_Latvian-LVTB"
"delta_Intercept84",0.521992426971051,0.00668743825372491,0.509070830473449,0.535567980049658,"UD_Latvian-LVTB"
"upperAsymptote_Intercept85",0.930605197427404,0.000744328780580266,0.929185263885106,0.932124635046568,"UD_German-GSD"
"lowerAsymptote_Intercept85",0.667009604387706,0.00255174918527128,0.662161968539242,0.67212101220468,"UD_German-GSD"
"growthRate_Intercept85",0.000213551238308083,5.50831690758011e-06,0.00020272844915189,0.000224621626540857,"UD_German-GSD"
"delta_Intercept85",0.448342528760465,0.00721394315935835,0.434248757427825,0.462458567928192,"UD_German-GSD"
"upperAsymptote_Intercept86",0.818997553602573,0.0285048378045112,0.783351632151334,0.869567930676683,"UD_Erzya-JR"
"lowerAsymptote_Intercept86",0.658812720267891,0.0391670192235131,0.574048535060643,0.740037295340623,"UD_Erzya-JR"
"growthRate_Intercept86",3.70790778311694,3.29543624045271,0.000316985173360694,9.66979134895958,"UD_Erzya-JR"
"delta_Intercept86",3.79909435329446,3.11933018404516,0.0847771678691441,9.62118424743375,"UD_Erzya-JR"
"upperAsymptote_Intercept87",0.956552271634696,0.000550681391330524,0.955497530588324,0.957665141796604,"UD_English-GUM"
"lowerAsymptote_Intercept87",0.728000136007187,0.00146112420449956,0.725077412126849,0.730900257293283,"UD_English-GUM"
"growthRate_Intercept87",0.000140765650384486,2.28582433674247e-06,0.000136400990056342,0.000145308750623203,"UD_English-GUM"
"delta_Intercept87",0.4700395544904,0.00522131816416392,0.459906657010103,0.480179457716064,"UD_English-GUM"
"upperAsymptote_Intercept88",0.946016972436713,0.00121180405901727,0.943770991079432,0.948543011406268,"UD_Greek-GUD"
"lowerAsymptote_Intercept88",0.802799195130031,0.0012271531826325,0.80038381927082,0.805221991021491,"UD_Greek-GUD"
"growthRate_Intercept88",0.000353726664747337,9.02396424333513e-06,0.000335537655223974,0.000371303532589835,"UD_Greek-GUD"
"delta_Intercept88",0.768055373055035,0.0190158919039538,0.730813373620233,0.804904770174672,"UD_Greek-GUD"
"upperAsymptote_Intercept89",0.963634216299779,0.000644234535728741,0.962387386396456,0.964907238400018,"UD_Polish-PDB"
"lowerAsymptote_Intercept89",0.680803489011268,0.00238191049038782,0.676129045635608,0.68543156518407,"UD_Polish-PDB"
"growthRate_Intercept89",0.00016723229194988,3.28653237894556e-06,0.000160810032485242,0.000173540184239174,"UD_Polish-PDB"
"delta_Intercept89",0.509995760030435,0.00692358891712248,0.496678640183906,0.523541362497136,"UD_Polish-PDB"
"upperAsymptote_Intercept90",0.971060679669889,0.000409167873750068,0.97026858438038,0.971877215887468,"UD_Serbian-SET"
"lowerAsymptote_Intercept90",0.723618727389226,0.00213554334142272,0.719434649773793,0.727816876659528,"UD_Serbian-SET"
"growthRate_Intercept90",0.000255291276692441,4.82855354562294e-06,0.000245831880039659,0.000264777753843813,"UD_Serbian-SET"
"delta_Intercept90",0.587701320919771,0.00826739796519328,0.571644531650803,0.603864978978615,"UD_Serbian-SET"
"upperAsymptote_Intercept91",0.95614035930502,0.000540748019970441,0.955085435211635,0.957222301547177,"UD_Belarusian-HSE"
"lowerAsymptote_Intercept91",0.688237441722021,0.00257355148221839,0.683231326406069,0.693402162989506,"UD_Belarusian-HSE"
"growthRate_Intercept91",0.000188593537517222,4.15095368835521e-06,0.000180409440765044,0.000196907663319399,"UD_Belarusian-HSE"
"delta_Intercept91",0.532520230922664,0.00777094489644969,0.518069383913175,0.548086269574439,"UD_Belarusian-HSE"
"upperAsymptote_Intercept92",0.967415746723393,0.00239754038068429,0.963120476199953,0.972652388607201,"UD_French-ParTUT"
"lowerAsymptote_Intercept92",0.789027560742793,0.00269207095952272,0.783639704782587,0.794205519066741,"UD_French-ParTUT"
"growthRate_Intercept92",0.000268028658831606,1.30761975911799e-05,0.000242451448932931,0.000293960733117027,"UD_French-ParTUT"
"delta_Intercept92",0.634337050368128,0.024919123039294,0.586749175471237,0.683688245603903,"UD_French-ParTUT"
"upperAsymptote_Intercept93",0.92587795817456,0.000416902891940264,0.925078511996015,0.926716881867869,"UD_Turkish-BOUN"
"lowerAsymptote_Intercept93",0.674321210172975,0.00165798918430195,0.671157951909936,0.677621517275931,"UD_Turkish-BOUN"
"growthRate_Intercept93",0.000129887349600584,1.80956049460889e-06,0.000126358168001793,0.00013349497248056,"UD_Turkish-BOUN"
"delta_Intercept93",0.572565705914897,0.00598761229534983,0.560989666475833,0.584399222174697,"UD_Turkish-BOUN"
"upperAsymptote_Intercept94",0.937857055546117,0.00105643626872372,0.935833994919552,0.940002488003974,"UD_Finnish-TDT"
"lowerAsymptote_Intercept94",0.618005111120422,0.00242514800514554,0.613252825254542,0.622626173187777,"UD_Finnish-TDT"
"growthRate_Intercept94",0.000120822852581777,2.37577436786556e-06,0.000116347736300026,0.000125572019857668,"UD_Finnish-TDT"
"delta_Intercept94",0.470294033814706,0.00630496256110907,0.45790565363028,0.482826780979477,"UD_Finnish-TDT"
"upperAsymptote_Intercept95",0.928525255601995,0.00178310691017183,0.925190046092868,0.932204247179919,"UD_Russian-Poetry"
"lowerAsymptote_Intercept95",0.694782765446694,0.00271660978903738,0.689454700733684,0.700154940726614,"UD_Russian-Poetry"
"growthRate_Intercept95",0.000181804581725897,5.91489424016412e-06,0.000170049539962371,0.000193632047923916,"UD_Russian-Poetry"
"delta_Intercept95",0.564778330815374,0.0143002247336218,0.537051100847412,0.59297290843663,"UD_Russian-Poetry"
"upperAsymptote_Intercept96",0.966744119533198,0.00149092534057309,0.964007221159031,0.969882172896184,"UD_Afrikaans-AfriBooms"
"lowerAsymptote_Intercept96",0.817783864180301,0.00116443121627412,0.815466211723773,0.820050138921005,"UD_Afrikaans-AfriBooms"
"growthRate_Intercept96",0.000162210824232978,5.38812705012778e-06,0.000151310881428254,0.000172554284910513,"UD_Afrikaans-AfriBooms"
"delta_Intercept96",0.589066985049632,0.012766140080639,0.563652530059859,0.614203626399903,"UD_Afrikaans-AfriBooms"
"upperAsymptote_Intercept97",0.945195970885218,0.000441801965662816,0.944332985193609,0.946064311980791,"UD_Japanese-GSD"
"lowerAsymptote_Intercept97",0.762950525933668,0.000870566558053252,0.761259682000104,0.764632516654711,"UD_Japanese-GSD"
"growthRate_Intercept97",7.73693867687942e-05,8.22840814627651e-07,7.57741018947583e-05,7.90310018321501e-05,"UD_Japanese-GSD"
"delta_Intercept97",0.555651663292376,0.00505756833942623,0.545823321511856,0.56564366323295,"UD_Japanese-GSD"
"upperAsymptote_Intercept98",0.935973879573995,0.00997809758810931,0.905412672029721,0.943980060901408,"UD_Indonesian-CSUI"
"lowerAsymptote_Intercept98",0.761560510462616,0.0159564360708637,0.729953643727989,0.805591964386451,"UD_Indonesian-CSUI"
"growthRate_Intercept98",0.172502984165549,1.0436478260519,0.000230338146566005,2.89706751196442,"UD_Indonesian-CSUI"
"delta_Intercept98",0.947369373529886,0.951082135093162,0.171426768552727,2.51306183783681,"UD_Indonesian-CSUI"
"upperAsymptote_Intercept99",0.949135501536736,0.000676865096134023,0.947844251890173,0.950468344599706,"UD_Scottish_Gaelic-ARCOSG"
"lowerAsymptote_Intercept99",0.708343348518639,0.00174275955563271,0.704893643053271,0.711796075835036,"UD_Scottish_Gaelic-ARCOSG"
"growthRate_Intercept99",0.00015349504361794,2.47156578002946e-06,0.000148693970958458,0.00015835356456679,"UD_Scottish_Gaelic-ARCOSG"
"delta_Intercept99",0.564914050463405,0.00756940142264208,0.550230032275583,0.580096168777103,"UD_Scottish_Gaelic-ARCOSG"
"upperAsymptote_Intercept100",0.9723045183584,0.000383411514385016,0.971570814018912,0.973071560913154,"UD_Czech-CAC"
"lowerAsymptote_Intercept100",0.703067312539918,0.00176570222776458,0.699621853880424,0.706612475392037,"UD_Czech-CAC"
"growthRate_Intercept100",0.000196728435389464,3.02014991627743e-06,0.000190932064654871,0.00020265857243543,"UD_Czech-CAC"
"delta_Intercept100",0.51141813109413,0.00519361393147336,0.50118992221107,0.521647201167583,"UD_Czech-CAC"
"upperAsymptote_Intercept101",0.979488440959432,0.000208508329844871,0.979077692126394,0.979902524635043,"UD_Turkish-Atis"
"lowerAsymptote_Intercept101",0.893094057784819,0.000733661447093804,0.891657120752588,0.894563503448583,"UD_Turkish-Atis"
"growthRate_Intercept101",0.000351651645658156,6.60802167404784e-06,0.000338686062102376,0.000364915098862553,"UD_Turkish-Atis"
"delta_Intercept101",0.652188635041852,0.0105532590989617,0.63213834407104,0.673564640073885,"UD_Turkish-Atis"
"upperAsymptote_Intercept102",0.963136967502086,0.000460023054690454,0.962238437049727,0.964033358746618,"UD_Czech-PDT"
"lowerAsymptote_Intercept102",0.660616432983547,0.00201034058056298,0.65669439960091,0.664508630268114,"UD_Czech-PDT"
"growthRate_Intercept102",0.000170415247766239,2.57566275321614e-06,0.000165405734287257,0.000175496241366939,"UD_Czech-PDT"
"delta_Intercept102",0.531995030884686,0.00557041211308926,0.521469169219361,0.543277962698176,"UD_Czech-PDT"
"upperAsymptote_Intercept103",0.947351167776847,0.000776886930895225,0.945865979785161,0.9488874120834,"UD_English-LinES"
"lowerAsymptote_Intercept103",0.749645345043626,0.00177546163128615,0.746218235869445,0.753212282633938,"UD_English-LinES"
"growthRate_Intercept103",0.000199661293232879,4.45629911905741e-06,0.000191107269394424,0.000208650852824951,"UD_English-LinES"
"delta_Intercept103",0.532629203264625,0.00919949929907972,0.515084859943783,0.550551817609676,"UD_English-LinES"
"upperAsymptote_Intercept104",0.814101633675296,0.0129492720177914,0.788702334906324,0.84028512700307,"UD_Tamil-TTB"
"lowerAsymptote_Intercept104",0.723552879455606,0.037952041757902,0.645462449871047,0.796659444476939,"UD_Tamil-TTB"
"growthRate_Intercept104",4.95834696823789,2.88430657899029,0.230756932348392,9.73448743795805,"UD_Tamil-TTB"
"delta_Intercept104",4.93196869603253,2.8935682652949,0.19127454022241,9.74699387943147,"UD_Tamil-TTB"
"upperAsymptote_Intercept105",0.916990668934792,0.00109501378842376,0.91492079612089,0.91917245156298,"UD_Slovak-SNK"
"lowerAsymptote_Intercept105",0.630351742816802,0.00230646159579078,0.625761577093065,0.634885610113029,"UD_Slovak-SNK"
"growthRate_Intercept105",0.000106168024483843,1.92843229127271e-06,0.000102425478038645,0.000109849427423713,"UD_Slovak-SNK"
"delta_Intercept105",0.572869433831139,0.00865385808023159,0.556107230364159,0.590003957359887,"UD_Slovak-SNK"
"upperAsymptote_Intercept106",0.898940294002715,0.00125834206927578,0.896521522892423,0.901424140160226,"UD_Korean-Kaist"
"lowerAsymptote_Intercept106",0.513118543379421,0.00241008563365352,0.508360879686039,0.517812824710184,"UD_Korean-Kaist"
"growthRate_Intercept106",8.78519834817562e-05,1.3858476085327e-06,8.51724905479239e-05,9.06144444687252e-05,"UD_Korean-Kaist"
"delta_Intercept106",0.515913951998224,0.00602423349642668,0.504117256570129,0.527568135975147,"UD_Korean-Kaist"
"upperAsymptote_Intercept107",0.953660772501884,0.00152569148896312,0.950857779208558,0.956810866278188,"UD_French-Rhapsodie"
"lowerAsymptote_Intercept107",0.800904611106647,0.00110479286586388,0.798720680067595,0.803074102137194,"UD_French-Rhapsodie"
"growthRate_Intercept107",0.000290855059085917,9.57172858648249e-06,0.000271832650726608,0.000309111572881108,"UD_French-Rhapsodie"
"delta_Intercept107",0.609702756019115,0.0140133864671746,0.582321289236964,0.637299253959606,"UD_French-Rhapsodie"
"upperAsymptote_Intercept108",0.953191931389666,0.00170837478114342,0.950073015862473,0.956819300099163,"UD_Japanese-GSDLUW"
"lowerAsymptote_Intercept108",0.749732178363867,0.00174855991040818,0.746228602569068,0.753160115512467,"UD_Japanese-GSDLUW"
"growthRate_Intercept108",6.24259619157383e-05,2.10393362479596e-06,5.82030827380571e-05,6.65019756812188e-05,"UD_Japanese-GSDLUW"
"delta_Intercept108",0.462462888097164,0.0088526398137984,0.44524783980235,0.479750198961957,"UD_Japanese-GSDLUW"
"upperAsymptote_Intercept109",0.895831620487202,0.024106598826397,0.865496322836224,0.937077559137985,"UD_Galician-TreeGal"
"lowerAsymptote_Intercept109",0.739958390605745,0.0373988642356589,0.662349807835453,0.818483685831801,"UD_Galician-TreeGal"
"growthRate_Intercept109",3.67929226064476,3.25144408232965,0.000237565542696872,9.67712184580873,"UD_Galician-TreeGal"
"delta_Intercept109",3.57937223165407,3.12507331028856,0.0741750010052952,9.54542188891157,"UD_Galician-TreeGal"
"upperAsymptote_Intercept110",0.955693421465264,0.000451277717581726,0.954828304145072,0.95659112085734,"UD_Persian-PerDT"
"lowerAsymptote_Intercept110",0.766451662979552,0.00108182859381995,0.764343057167557,0.768576572127952,"UD_Persian-PerDT"
"growthRate_Intercept110",0.000116600988327892,1.63501220230213e-06,0.000113377520412059,0.000119779036966168,"UD_Persian-PerDT"
"delta_Intercept110",0.496763495180705,0.00509228311472095,0.48689329538718,0.506936438787269,"UD_Persian-PerDT"
"upperAsymptote_Intercept111",0.989968032595648,0.000134739567904166,0.9897132404114,0.990238364086143,"UD_English-Atis"
"lowerAsymptote_Intercept111",0.909813175523414,0.000672322991505834,0.908502364810478,0.911139851457691,"UD_English-Atis"
"growthRate_Intercept111",0.000515328758971623,1.09592283524213e-05,0.000494146874310717,0.000537082949180399,"UD_English-Atis"
"delta_Intercept111",0.561051124255983,0.00901561689836222,0.543799439418115,0.57893487130568,"UD_English-Atis"
